ID,Description,Calories,Protein,TotalFat,Carbohydrate,Sugar,Cholesterol,Sodium,Iron,Calcium,SaturatedFat,Potassium,VitaminC,VitaminE,VitaminD
6375,"CAMPBELL SOUP COMPANY,CAMPBELL'S RED & WHITE,VEG BF SOP,COND",71,3.97,0.79,11.9,1.59,4,706,0.57,16,0.397,206,1,,
6377,"CAMPBELL SOUP COMPANY,CAMPBELL RED & WHITE,TOMATO SOUP,COND",71,1.46,0.44,15.22,8.23,0,377,0.59,13,0,562,4.8,,
6379,"CAMPBELL SOUP,CAMPBELL'S RED & WHITE,TOMATO BISQUE,COND",103,1.59,2.78,18.25,11.9,4,698,0.29,32,1.19,,4.8,,
6380,"CAMPBELL'S RED & WHITE,SPLIT PEA W/ HAM & BACON SOUP,COND",141,7.81,1.56,23.44,3.13,4,664,1.13,16,0.391,352,0,,
6381,"CAMPBELL'S RED & WHITE,SOUTHWESTERN-STYLE CHICK VEG SOP,COND",87,3.97,0.79,16.67,2.38,4,659,0.86,32,0.397,,1,,
6383,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO CHEDDAR BACON BITS SOUP",78,2.04,3.67,9.39,1.25,4,322,0.29,16,1.224,,0,,
6384,"CAMPBELL'S CHUNKY SOUPS,BKD POTATO W/ STEAK & CHS SOUP",82,3.27,4.08,8.57,1.22,6,343,0.59,8,1.02,,0,,
6385,"CAMPBELL'S CHUNKY SOUPS,BARBEQUE SEASONED BURGER SOUP",84,4.08,2.45,11.43,4.08,6,367,0.59,24,1.02,,0,,
6386,"CAMPBELL'S CHUNKY SOUPS,BBQ SEASONED PORK SOUP",68,4.9,1.43,8.98,2.04,6,376,0.44,16,0.612,,0,,
6387,"CAMPBELL'S CHUNKY SOUPS,BF RIB RST POTATOES HERBS SOUP",44,2.86,0.41,6.94,2.45,4,363,0.29,8,0.408,,0.5,,
6388,"CAMPBELL'S CHUNKY SOUPS,BF W/ COUNTRY VEG SOUP",53,3.27,1.22,7.35,1.63,6,376,0.59,8,0.408,,0,,
6389,"CAMPBELL'S CHUNKY SOUPS,BF W/ WHITE & WILD RICE SOUP",57,3.27,0.61,9.8,2.04,4,363,0.44,8,0.204,,0,,
6391,"CAMPBELL'S CHUNKY SOUPS,CHICK & DUMPLINGS SOUP",74,3.27,3.27,7.76,4.9,12,363,0.15,8,0.816,,0,,
6392,"CAMPBELL'S CHUNKY SOUPS,CHICK BROCCOLI CHS & POTATO SOUP",86,2.86,4.49,8.16,2.45,8,359,0,8,1.633,,0,,
6393,"CAMPBELL'S CHUNKY SOUPS,CHICK CORN CHOWDER",82,2.86,4.08,8.16,1.22,6,351,0.29,8,1.224,,0,,
6394,"CAMPBELL'S CHUNKY SOUPS,CHICK MUSHROOM CHOWDER",78,3.27,3.67,7.76,1.63,10,347,0.15,8,0.612,,0,,
6395,"CAMPBELL SOUP COMPANY CHUNKY SOUPS,CLASSIC CHICK NDLE SOUP",47,3.41,1.3,5.41,0.41,8,325,0.34,11,0.408,90,0,,
6396,"CAMPBELL'S CHUNKY SOUPS,FAJITA CHICK W/ RICE & BNS SOUP",53,2.86,0.61,9.39,2.86,6,347,0.44,8,0.204,,0,,
6398,"CAMPBELL'S CHUNKY SOUPS,FIREHOUSE - HOT SPICY BF BEAN CHILI",95,6.12,3.27,10.2,2.86,10,355,0.73,16,1.429,,0.5,,
6399,"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK SAUSAGE GUMBO SOUP",57,2.86,1.22,8.57,1.63,8,347,0.15,8,0.612,,0,,
6400,"CAMPBELL'S CHUNKY SOUPS,GRILLED CHICK VEG & PASTA SOUP",41,2.45,1.02,5.71,0.82,6,359,0.15,8,0.204,,0,,
6401,"SOUP,CRM OF ASPARAGUS,CND,PREP W/ EQ VOLUME H2O",35,0.94,1.68,4.38,,2,402,0.33,12,0.43,71,1.1,,
6402,"SOUP,BLACK BEAN,CND,PREP W/ EQ VOLUME H2O",46,2.42,0.66,7.71,1.24,0,487,0.75,19,0.17,125,0.1,0.18,0
6403,"CAMPBELL'S CHUNKY SOUPS,GRILLED SIRLOIN STEAK HEARTY VEG SP",53,3.27,0.82,7.76,6.12,4,363,0.44,8,0.408,,0.5,,
6404,"SOUP,BEAN W/ PORK,CND,PREP W/ EQ VOLUME H2O",63,2.88,2.16,8.31,1.47,1,349,0.75,31,0.558,147,0.6,0.43,0
6405,"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST CHICK NOODLE SOUP",49,3.27,1.02,6.94,1.22,4,167,0.29,8,0.408,,1,,
6406,"SOUP,BEAN W/ FRANKFURTERS,CND,PREP W/ EQ VOLUME H2O",75,3.99,2.79,8.8,,5,437,0.94,35,0.85,191,0.4,,
6408,"CAMPBELL'S CHUNKY SOUPS,HEALTHY REQUEST VEG SOUP",49,1.63,0.41,9.8,3.27,0,167,0.44,24,0.204,,0,,
6409,"SOUP,BF NOODLE,CND,PREP W/ EQ VOLUME H2O",34,1.93,1.23,3.58,1.03,2,381,0.44,8,0.455,40,0.2,0.5,0
6410,"SOUP,CRM OF CELERY,CND,PREP W/ EQ VOLUME H2O",37,0.68,2.29,3.62,,6,254,0.26,16,0.58,50,0.1,,
6411,"SOUP,CHS,CND,PREP W/ EQ VOLUME H2O",63,2.19,4.24,4.26,,12,388,0.3,57,2.7,62,0,,
6412,"SOUP,CHICK W/ DUMPLINGS,CND,PREP W/ EQ VOLUME H2O",40,2.33,2.29,2.51,0.33,14,305,0.26,6,0.54,48,0,0.23,0
